menu_id,restaurant_id,dish_name,category,price_vnd,description,tags
M001,R079,Egg Tarts,Tráng miệng,40000,Bánh tart trứng Hong Kong,"sweet, pastry, creamy"
M002,R018,Milkshake,Đồ uống,80000,Sinh tố sữa đặc,"sweet, creamy, thick"
M003,R005,Thai Basil Lime,Đồ uống,40000,Nước chanh húng quế,"refreshing, herbal, lime"
M004,R016,Gyoza,Khai vị,70000,Há cảo chiên giòn,"crispy, pork, pan-fried"
M005,R015,Samosa,Khai vị,60000,Samosa chiên giòn,"fried, crispy, spiced"
M006,R066,Thai Tea Panna Cotta,Tráng miệng,70000,Panna cotta trà Thái,"sweet, creamy, fusion"
M007,R063,Bulgogi,Món chính,160000,Thịt bò nướng kiểu Hàn,"grilled, beef, marinated"
M008,R052,Tiramisu,Tráng miệng,80000,Tiramisu Ý cà phê,"coffee, creamy, iconic"
M009,R012,Kulfi,Tráng miệng,70000,Kem Ấn Độ truyền thống,"ice-cream, cardamom, creamy"
M010,R030,Baklava,Tráng miệng,70000,Bánh baklava mật ong,"sweet, pastry, nutty"
M011,R039,Som Tam,Khai vị,80000,Gỏi đu đủ chua cay,"spicy, sour, refreshing"
M012,R024,Espresso,Đồ uống,50000,Cà phê Espresso đậm đà,"coffee, strong, italian"
M013,R041,Greek Salad,Khai vị,100000,Salad Hy Lạp,"fresh, healthy, feta"
M014,R060,Scallion Pancakes,Khai vị,60000,Bánh bột hành giòn,"crispy, savory, flaky"
M015,R064,Gulab Jamun,Tráng miệng,50000,Bánh ngọt Ấn Độ,"sweet, syrup, traditional"
M016,R009,Gỏi Cuốn,Khai vị,70000,Gỏi cuốn tôm thịt tươi mát,"fresh, healthy, light"
M017,R050,Gỏi Ngó Sen,Khai vị,80000,Gỏi ngó sen tôm thịt thanh mát,"refreshing, healthy, lotus"
M018,R047,Cà Phê Sữa Đá,Đồ uống,30000,Cà phê sữa đá đậm đà,"coffee, sweet, iced"
M019,R096,Ayran,Đồ uống,40000,Sữa chua muối,"yogurt, salty, refreshing"
M020,R001,Bún Bò Huế,Món chính,80000,Bún cay đặc trưng xứ Huế với thịt bò,"spicy, authentic, hearty"
M021,R093,Naan Bread,Khai vị,50000,Bánh naan nóng giòn,"bread, fluffy, traditional"
M022,R069,Red Wine,Đồ uống,250000,Rượu vang đỏ cao cấp,"alcohol, premium, wine"
M023,R006,Gỏi Ngó Sen,Khai vị,70000,Gỏi ngó sen tôm thịt thanh mát,"refreshing, healthy, lotus"
M024,R029,Thai Iced Tea,Đồ uống,60000,Trà sữa Thái cam,"sweet, creamy, orange"
M025,R076,Mango Lassi,Đồ uống,70000,Sữa chua xoài Ấn Độ,"yogurt, mango, refreshing"
M026,R034,Matcha Latte,Đồ uống,60000,Matcha latte thơm béo,"tea, creamy, authentic"
M027,R033,Naan Bread,Khai vị,40000,Bánh naan nóng giòn,"bread, fluffy, traditional"
M028,R055,Som Tam,Khai vị,60000,Gỏi đu đủ chua cay,"spicy, sour, refreshing"
M029,R065,Tandoori Chicken,Món chính,180000,Gà tandoori nướng lò,"grilled, spicy, yogurt"
M030,R053,Paella,Món chính,230000,Paella hải sản Tây Ban Nha,"seafood, rice, saffron"
M031,R062,Thai Iced Tea,Đồ uống,60000,Trà sữa Thái cam,"sweet, creamy, orange"
M032,R043,Thai Basil Lime,Đồ uống,50000,Nước chanh húng quế,"refreshing, herbal, lime"
M033,R086,Samosa,Khai vị,50000,Samosa chiên giòn,"fried, crispy, spiced"
M034,R070,Thai Basil Lime,Đồ uống,50000,Nước chanh húng quế,"refreshing, herbal, lime"
M035,R082,Samosa,Khai vị,70000,Samosa chiên giòn,"fried, crispy, spiced"
M036,R035,Pajeon,Khai vị,120000,Bánh xèo hải sản Hàn Quốc,"seafood, crispy, savory"
M037,R094,Grilled Kebab,Món chính,160000,Kebab nướng Thổ Nhĩ Kỳ,"grilled, lamb, spiced"
M038,R091,Gyoza,Khai vị,80000,Há cảo chiên giòn,"crispy, pork, pan-fried"
M039,R026,Mozzarella Sticks,Khai vị,100000,Phô mai que chiên,"fried, cheesy, crispy"
M040,R059,Hummus,Khai vị,80000,Hummus đậu gà,"dip, healthy, vegetarian"
M041,R057,Chè Bưởi,Tráng miệng,40000,Chè bưởi thanh mát giải nhiệt,"refreshing, sweet, citrus"
M042,R075,Mandu,Khai vị,80000,Há cảo Hàn Quốc hấp/chiên,"dumplings, savory, popular"
M043,R028,Greek Salad,Khai vị,80000,Salad Hy Lạp,"fresh, healthy, feta"
M044,R042,Root Beer Float,Đồ uống,60000,Kem root beer,"sweet, fizzy, nostalgic"
M045,R038,Sake,Đồ uống,140000,Rượu sake Nhật truyền thống,"alcohol, traditional, premium"
M046,R020,Pakora,Khai vị,70000,Pakora rau củ chiên,"fried, crispy, vegetarian"
M047,R100,Green Curry,Món chính,150000,Cà ri xanh Thái cay thơm,"spicy, curry, coconut"
M048,R098,Mozzarella Sticks,Khai vị,70000,Phô mai que chiên,"fried, cheesy, crispy"
M049,R054,Matcha Latte,Đồ uống,70000,Matcha latte thơm béo,"tea, creamy, authentic"
M050,R036,Nachos,Khai vị,110000,Nachos phô mai,"chips, cheesy, sharing"
M051,R085,Nachos,Khai vị,90000,Nachos phô mai,"chips, cheesy, sharing"
M052,R078,Egg Tarts,Tráng miệng,30000,Bánh tart trứng Hong Kong,"sweet, pastry, creamy"
M053,R031,Thai Basil Lime,Đồ uống,50000,Nước chanh húng quế,"refreshing, herbal, lime"
M054,R083,Chè Ba Màu,Tráng miệng,50000,Chè ba màu ngọt mát,"sweet, colorful, dessert"
M055,R010,Bún Bò Huế,Món chính,80000,Bún cay đặc trưng xứ Huế với thịt bò,"spicy, authentic, hearty"
M056,R017,Scallion Pancakes,Khai vị,70000,Bánh bột hành giòn,"crispy, savory, flaky"
M057,R022,Massaman Curry,Món chính,140000,Cà ri massaman đậm đà,"curry, peanut, mild-spicy"
M058,R048,Nachos,Khai vị,120000,Nachos phô mai,"chips, cheesy, sharing"
M059,R084,Biryani,Món chính,140000,Cơm biryani gia vị,"rice, aromatic, spiced"
M060,R072,French Onion Soup,Khai vị,110000,Súp hành Pháp,"soup, savory, warm"
M061,R074,Satay,Khai vị,90000,Xiên nướng sốt đậu phộng,"grilled, peanut-sauce, popular"
M062,R067,Mango Lassi,Đồ uống,70000,Sữa chua xoài Ấn Độ,"yogurt, mango, refreshing"
M063,R089,Kimchi,Khai vị,30000,Kim chi cải thảo truyền thống,"spicy, fermented, healthy"
M064,R088,Pakora,Khai vị,80000,Pakora rau củ chiên,"fried, crispy, vegetarian"
M065,R004,Banana Milk,Đồ uống,40000,Sữa chuối Hàn Quốc,"sweet, creamy, popular"
M066,R032,Red Wine,Đồ uống,160000,Rượu vang đỏ cao cấp,"alcohol, premium, wine"
M067,R027,Nem Rán,Khai vị,60000,Nem rán giòn rụm thơm ngon,"crispy, fried, popular"
M068,R037,Ramen Tonkotsu,Món chính,180000,Ramen nước dùng xương heo đậm đà,"hearty, pork, noodles"
M069,R095,Matcha Latte,Đồ uống,50000,Matcha latte thơm béo,"tea, creamy, authentic"
M070,R008,Chè Ba Màu,Tráng miệng,50000,Chè ba màu ngọt mát,"sweet, colorful, dessert"
M071,R071,Tiramisu,Tráng miệng,100000,Tiramisu Ý cà phê,"coffee, creamy, iconic"
M072,R097,Red Wine,Đồ uống,300000,Rượu vang đỏ cao cấp,"alcohol, premium, wine"
M073,R045,Risotto,Món chính,160000,Risotto Ý kem phomat,"rice, creamy, italian"
M074,R061,Thai Tea Panna Cotta,Tráng miệng,60000,Panna cotta trà Thái,"sweet, creamy, fusion"
M075,R087,Trà Đào Cam Sả,Đồ uống,50000,Trá đào cam sả thanh mát,"tea, fruity, refreshing"
M076,R068,Soju,Đồ uống,100000,Rượu soju Hàn Quốc,"alcohol, traditional, popular"
M077,R081,Crème Brûlée,Tráng miệng,100000,Kem brulee Pháp,"sweet, creamy, caramelized"
M078,R025,Thai Basil Lime,Đồ uống,40000,Nước chanh húng quế,"refreshing, herbal, lime"
M079,R046,Chè Ba Màu,Tráng miệng,30000,Chè ba màu ngọt mát,"sweet, colorful, dessert"
M080,R090,Kung Pao Chicken,Món chính,140000,Gà xào hạt điều cay,"spicy, chicken, cashew"
M081,R099,Bibimbap,Món chính,110000,Cơm trộn Hàn Quốc đầy màu sắc,"rice, vegetables, healthy"
M082,R092,Kung Pao Chicken,Món chính,120000,Gà xào hạt điều cay,"spicy, chicken, cashew"
M083,R073,Ramen Tonkotsu,Món chính,140000,Ramen nước dùng xương heo đậm đà,"hearty, pork, noodles"
M084,R019,Nước Mía,Đồ uống,30000,Nước mía tươi ngọt lịm,"fresh, sweet, natural"
M085,R011,Soju,Đồ uống,80000,Rượu soju Hàn Quốc,"alcohol, traditional, popular"
M086,R080,Spring Rolls,Khai vị,70000,Chả giò Thái chiên giòn,"crispy, fried, popular"
M087,R013,Root Beer Float,Đồ uống,50000,Kem root beer,"sweet, fizzy, nostalgic"
M088,R044,Matcha Latte,Đồ uống,60000,Matcha latte thơm béo,"tea, creamy, authentic"
M089,R003,Sake,Đồ uống,130000,Rượu sake Nhật truyền thống,"alcohol, traditional, premium"
M090,R058,Spring Rolls,Khai vị,70000,Chả giò Trung Hoa,"crispy, fried, classic"
M091,R040,Caesar Salad,Khai vị,90000,Salad Caesar truyền thống,"salad, healthy, classic"
M092,R077,Pad Krapow,Món chính,120000,Thịt xào húng quế Thái,"spicy, basil, rice"
M093,R051,Thai Basil Lime,Đồ uống,40000,Nước chanh húng quế,"refreshing, herbal, lime"
M094,R002,Mandu,Khai vị,60000,Há cảo Hàn Quốc hấp/chiên,"dumplings, savory, popular"
M095,R049,Ramen Tonkotsu,Món chính,130000,Ramen nước dùng xương heo đậm đà,"hearty, pork, noodles"
M096,R007,Thai Tea Panna Cotta,Tráng miệng,80000,Panna cotta trà Thái,"sweet, creamy, fusion"
M097,R021,Mochi Ice Cream,Tráng miệng,70000,Kem mochi mềm mịn,"sweet, chewy, ice-cream"
M098,R056,Nước Mía,Đồ uống,30000,Nước mía tươi ngọt lịm,"fresh, sweet, natural"
M099,R014,Korean BBQ Set,Món chính,430000,Set nướng Hàn Quốc cao cấp,"bbq, premium, sharing"
M100,R023,Egg Tarts,Tráng miệng,50000,Bánh tart trứng Hong Kong,"sweet, pastry, creamy"
