menu_id,restaurant_id,dish_name,category,price_vnd,description,tags_x,name,address,city,phone,rating,cuisine,price_range,tags_y
M001,R012,Salad Chiên,Đồ uống,180000,"Món tuyệt hảo, phù hợp cho tập thể.","gluten-free, popular",Nhà hàng Vị 12,"485 Đường Nguyễn Huệ, P.10, Q.4",Hà Nội,0932329237,4.8,Nhật Bản,₫,"seafood, delivery, family"
M002,R047,Sushi Sốt Teriyaki,Món chính,120000,"Món đậm đà, phù hợp cho ăn vặt.","gluten-free, savoury",House Sườn 47,"439 Đường Lê Lợi, P.20, Q.3",Hồ Chí Minh,0916941092,3.9,Nhật Bản,₫₫₫,"romantic, seafood, cheap"
M003,R049,Bánh mì Truyền Thống,Món chay,80000,"Món đậm đà, phù hợp cho tập thể.","popular, sweet",Quán Sông 49,"363 Đường Trần Hưng Đạo, P.4, Q.12",Đà Nẵng,0991839693,4.2,Nhật Bản,₫₫₫,"takeaway, fine-dining, vegetarian"
M004,R012,Cơm Sốt Teriyaki,Món chay,80000,"Món đặc sắc, phù hợp cho ăn vặt.","vegan-friendly, chef-special",Nhà hàng Vị 12,"485 Đường Nguyễn Huệ, P.10, Q.4",Hà Nội,0932329237,4.8,Nhật Bản,₫,"seafood, delivery, family"
M005,R018,Phở Hải Sản,Khai vị,120000,"Món thơm ngon, phù hợp cho tập thể.","gluten-free, vegan-friendly",House Vị 18,"236 Đường Hai Bà Trưng, P.4, Q.1",Cần Thơ,0901980765,4.9,Trung Hoa,₫,"vegetarian, seafood, halal"
M006,R049,Pizza Chilli,Ăn vặt,45000,"Món hấp dẫn, phù hợp cho tập thể.","popular, spicy",Quán Sông 49,"363 Đường Trần Hưng Đạo, P.4, Q.12",Đà Nẵng,0991839693,4.2,Nhật Bản,₫₫₫,"takeaway, fine-dining, vegetarian"
M007,R006,Cơm Truyền Thống,Ăn vặt,60000,"Món thơm ngon, phù hợp cho ăn vặt.","chef-special, vegan-friendly",Cafe Sườn 6,"353 Đường Nguyễn Huệ, P.3, Q.10",Hồ Chí Minh,0971691040,4.5,Hàn Quốc,₫₫,"vegetarian, cheap, romantic"
M008,R024,Salad Sốt Teriyaki,Tráng miệng,80000,"Món tuyệt hảo, phù hợp cho ăn vặt.","sweet, chef-special",Bếp Mỳ 24,"461 Đường Lê Lợi, P.8, Q.6",Đà Nẵng,0921172421,3.9,Ăn vặt,₫₫₫,"cheap, halal, takeaway"
M009,R030,Sushi Chiên,Món chính,60000,"Món đậm đà, phù hợp cho bữa tối.","sweet, spicy",Bistro Sườn 30,"146 Đường Trần Hưng Đạo, P.4, Q.7",Hà Nội,0963174945,3.4,Đồ nướng,₫₫,"cheap, romantic, halal"
M010,R048,Pad Thai Bò,Món chính,120000,"Món thơm ngon, phù hợp cho tập thể.","sweet, chef-special",Cafe Ngon 48,"320 Đường Hai Bà Trưng, P.4, Q.3",Đà Nẵng,0914508768,4.2,Ý,₫₫₫,"vegetarian, spicy, romantic"
M011,R038,Salad Chiên,Khai vị,250000,"Món thơm ngon, phù hợp cho ăn vặt.","savoury, sweet",Pavilion Gạo 38,"134 Đường Trần Hưng Đạo, P.1, Q.2",Hải Phòng,0929372360,3.4,Ăn vặt,₫₫,"takeaway, halal, romantic"
M012,R012,Phở Bò,Món chay,60000,"Món đậm đà, phù hợp cho bữa trưa.","vegan-friendly, sweet",Nhà hàng Vị 12,"485 Đường Nguyễn Huệ, P.10, Q.4",Hà Nội,0932329237,4.8,Nhật Bản,₫,"seafood, delivery, family"
M013,R045,Curry Chilli,Khai vị,45000,"Món đậm đà, phù hợp cho ăn vặt.","gluten-free, popular",Bistro Ngon 45,"453 Đường Phan Đình Phùng, P.6, Q.1",Đà Nẵng,0950882459,3.7,Đồ nướng,₫₫,"fine-dining, vegetarian, cheap"
M014,R029,Mì Đặc Biệt,Món chay,60000,"Món hấp dẫn, phù hợp cho bữa trưa.","popular, spicy",Cafe Biển 29,"462 Đường Phan Đình Phùng, P.20, Q.12",Hồ Chí Minh,0931774346,4.7,Hàn Quốc,₫₫,"takeaway, family, fine-dining"
M015,R026,Bún Đặc Biệt,Món chính,80000,"Món thơm ngon, phù hợp cho ăn vặt.","spicy, savoury",House Sashimi 26,"268 Đường Phan Đình Phùng, P.9, Q.1",Hà Nội,0985132217,3.8,Ý,₫,"takeaway, fine-dining, family"
M016,R008,Pad Thai Truyền Thống,Đồ uống,120000,"Món tuyệt hảo, phù hợp cho bữa tối.","popular, vegan-friendly",Bếp Sashimi 8,"81 Đường Trần Hưng Đạo, P.18, Q.9",Đà Nẵng,0978461803,3.9,Địa Trung Hải,₫₫,"romantic, family, seafood"
M017,R025,Ramen Chilli,Món chay,80000,"Món tuyệt hảo, phù hợp cho tập thể.","sweet, vegan-friendly",Garden Vị 25,"490 Đường Trần Hưng Đạo, P.9, Q.2",Hà Nội,0999645480,4.1,Ý,₫₫,"spicy, romantic, fine-dining"
M018,R040,Bánh mì Gà,Món chính,35000,"Món thơm ngon, phù hợp cho ăn vặt.","chef-special, spicy",Bếp Lửa 40,"240 Đường Nguyễn Huệ, P.8, Q.11",Đà Nẵng,0969967676,4.0,Trung Hoa,₫₫,"seafood, delivery, cheap"
M019,R011,Mì Gà,Món chính,45000,"Món đậm đà, phù hợp cho tập thể.","gluten-free, chef-special",Quán Sashimi 11,"440 Đường Hai Bà Trưng, P.20, Q.4",Hồ Chí Minh,0950185867,4.5,Ăn vặt,₫₫₫,"takeaway, fine-dining, seafood"
M020,R039,Sushi Đặc Biệt,Món chính,80000,"Món đặc sắc, phù hợp cho ăn vặt.","chef-special, gluten-free",Quán Lửa 39,"78 Đường Phan Đình Phùng, P.17, Q.9",Cần Thơ,0942587010,4.9,Đồ nướng,₫₫₫,"halal, vegetarian, seafood"
M021,R005,Cơm Chiên,Ăn vặt,180000,"Món tuyệt hảo, phù hợp cho bữa tối.","gluten-free, spicy",House Vị 5,"33 Đường Trần Hưng Đạo, P.10, Q.2",Hồ Chí Minh,0913556182,3.8,Đồ nướng,₫₫₫,"fine-dining, family, spicy"
M022,R035,Curry Bò,Món chay,45000,"Món thơm ngon, phù hợp cho bữa trưa.","spicy, savoury",House Gạo 35,"350 Đường Phan Đình Phùng, P.6, Q.10",Cần Thơ,0940392808,3.8,Việt Nam,₫₫,"cheap, romantic, vegetarian"
M023,R020,Pizza Chiên,Tráng miệng,120000,"Món đậm đà, phù hợp cho tập thể.","chef-special, sweet",Bếp Sườn 20,"161 Đường Trần Hưng Đạo, P.2, Q.10",Cần Thơ,0908181586,4.5,Việt Nam,₫,"spicy, seafood, family"
M024,R045,Sushi Chilli,Tráng miệng,80000,"Món đậm đà, phù hợp cho bữa trưa.","gluten-free, chef-special",Bistro Ngon 45,"453 Đường Phan Đình Phùng, P.6, Q.1",Đà Nẵng,0950882459,3.7,Đồ nướng,₫₫,"fine-dining, vegetarian, cheap"
M025,R021,Sushi Đặc Biệt,Khai vị,120000,"Món thơm ngon, phù hợp cho bữa trưa.","popular, chef-special",Nhà hàng Biển 21,"51 Đường Trần Hưng Đạo, P.3, Q.10",Hà Nội,0990625494,4.7,Địa Trung Hải,₫,"spicy, romantic, takeaway"
M026,R018,Phở Bò,Tráng miệng,120000,"Món tuyệt hảo, phù hợp cho tập thể.","sweet, savoury",House Vị 18,"236 Đường Hai Bà Trưng, P.4, Q.1",Cần Thơ,0901980765,4.9,Trung Hoa,₫,"vegetarian, seafood, halal"
M027,R038,Curry Chilli,Khai vị,80000,"Món hấp dẫn, phù hợp cho ăn vặt.","gluten-free, sweet",Pavilion Gạo 38,"134 Đường Trần Hưng Đạo, P.1, Q.2",Hải Phòng,0929372360,3.4,Ăn vặt,₫₫,"takeaway, halal, romantic"
M028,R021,Bún Bò,Món chay,180000,"Món hấp dẫn, phù hợp cho tập thể.","sweet, chef-special",Nhà hàng Biển 21,"51 Đường Trần Hưng Đạo, P.3, Q.10",Hà Nội,0990625494,4.7,Địa Trung Hải,₫,"spicy, romantic, takeaway"
M029,R026,Pad Thai Đặc Biệt,Tráng miệng,250000,"Món đậm đà, phù hợp cho ăn vặt.","sweet, popular",House Sashimi 26,"268 Đường Phan Đình Phùng, P.9, Q.1",Hà Nội,0985132217,3.8,Ý,₫,"takeaway, fine-dining, family"
M030,R008,Sườn nướng Đặc Biệt,Ăn vặt,250000,"Món tuyệt hảo, phù hợp cho tập thể.","gluten-free, spicy",Bếp Sashimi 8,"81 Đường Trần Hưng Đạo, P.18, Q.9",Đà Nẵng,0978461803,3.9,Địa Trung Hải,₫₫,"romantic, family, seafood"
M031,R013,Gà rán Chilli,Ăn vặt,120000,"Món hấp dẫn, phù hợp cho bữa trưa.","savoury, sweet",Bếp Lửa 13,"494 Đường Hai Bà Trưng, P.6, Q.5",Cần Thơ,0981415657,3.8,Trung Hoa,₫₫₫,"romantic, cheap, vegetarian"
M032,R036,Ramen Chiên,Tráng miệng,45000,"Món hấp dẫn, phù hợp cho bữa trưa.","spicy, chef-special",Cafe Lửa 36,"236 Đường Phan Đình Phùng, P.7, Q.9",Hải Phòng,0998779073,3.3,Nhật Bản,₫₫,"halal, fine-dining, delivery"
M033,R039,Cơm Bò,Món chay,250000,"Món tuyệt hảo, phù hợp cho bữa trưa.","vegan-friendly, gluten-free",Quán Lửa 39,"78 Đường Phan Đình Phùng, P.17, Q.9",Cần Thơ,0942587010,4.9,Đồ nướng,₫₫₫,"halal, vegetarian, seafood"
M034,R006,Tteokbokki Gà,Tráng miệng,45000,"Món đậm đà, phù hợp cho bữa tối.","gluten-free, chef-special",Cafe Sườn 6,"353 Đường Nguyễn Huệ, P.3, Q.10",Hồ Chí Minh,0971691040,4.5,Hàn Quốc,₫₫,"vegetarian, cheap, romantic"
M035,R019,Pizza Chiên,Tráng miệng,120000,"Món hấp dẫn, phù hợp cho tập thể.","savoury, gluten-free",House Gạo 19,"472 Đường Lê Lợi, P.6, Q.7",Hà Nội,0952401521,3.5,Đồ nướng,₫₫,"vegetarian, halal, seafood"
M036,R036,Sườn nướng Hải Sản,Đồ uống,45000,"Món tuyệt hảo, phù hợp cho bữa tối.","popular, spicy",Cafe Lửa 36,"236 Đường Phan Đình Phùng, P.7, Q.9",Hải Phòng,0998779073,3.3,Nhật Bản,₫₫,"halal, fine-dining, delivery"
M037,R018,Pad Thai Truyền Thống,Món chay,250000,"Món tuyệt hảo, phù hợp cho ăn vặt.","popular, spicy",House Vị 18,"236 Đường Hai Bà Trưng, P.4, Q.1",Cần Thơ,0901980765,4.9,Trung Hoa,₫,"vegetarian, seafood, halal"
M038,R019,Sushi Chilli,Món chính,180000,"Món hấp dẫn, phù hợp cho tập thể.","sweet, popular",House Gạo 19,"472 Đường Lê Lợi, P.6, Q.7",Hà Nội,0952401521,3.5,Đồ nướng,₫₫,"vegetarian, halal, seafood"
M039,R036,Salad Truyền Thống,Tráng miệng,250000,"Món đặc sắc, phù hợp cho bữa tối.","chef-special, savoury",Cafe Lửa 36,"236 Đường Phan Đình Phùng, P.7, Q.9",Hải Phòng,0998779073,3.3,Nhật Bản,₫₫,"halal, fine-dining, delivery"
M040,R037,Cơm Truyền Thống,Khai vị,80000,"Món đặc sắc, phù hợp cho tập thể.","chef-special, gluten-free",House Sashimi 37,"125 Đường Trần Hưng Đạo, P.5, Q.1",Hà Nội,0932862209,5.0,Nhật Bản,₫₫,"vegetarian, romantic, spicy"
M041,R025,Pad Thai Bò,Tráng miệng,180000,"Món đậm đà, phù hợp cho bữa tối.","vegan-friendly, popular",Garden Vị 25,"490 Đường Trần Hưng Đạo, P.9, Q.2",Hà Nội,0999645480,4.1,Ý,₫₫,"spicy, romantic, fine-dining"
M042,R022,Bún Chilli,Khai vị,250000,"Món tuyệt hảo, phù hợp cho tập thể.","spicy, chef-special",Quán Gạo 22,"346 Đường Hai Bà Trưng, P.19, Q.9",Đà Nẵng,0934999379,3.4,Ấn Độ,₫,"cheap, vegetarian, family"
M043,R010,Tteokbokki Bò,Khai vị,80000,"Món hấp dẫn, phù hợp cho ăn vặt.","sweet, vegan-friendly",Nhà hàng Vị 10,"359 Đường Hai Bà Trưng, P.9, Q.11",Đà Nẵng,0914972279,3.6,Hàn Quốc,₫₫,"takeaway, cheap, family"
M044,R045,Curry Gà,Món chay,80000,"Món tuyệt hảo, phù hợp cho tập thể.","sweet, chef-special",Bistro Ngon 45,"453 Đường Phan Đình Phùng, P.6, Q.1",Đà Nẵng,0950882459,3.7,Đồ nướng,₫₫,"fine-dining, vegetarian, cheap"
M045,R046,Cá kho Đặc Biệt,Đồ uống,250000,"Món đậm đà, phù hợp cho bữa tối.","chef-special, popular",Bistro Sashimi 46,"437 Đường Lê Lợi, P.16, Q.1",Cần Thơ,0906990811,5.0,Ấn Độ,₫,"delivery, takeaway, halal"
M046,R019,Pizza Gà,Tráng miệng,45000,"Món đậm đà, phù hợp cho bữa trưa.","gluten-free, savoury",House Gạo 19,"472 Đường Lê Lợi, P.6, Q.7",Hà Nội,0952401521,3.5,Đồ nướng,₫₫,"vegetarian, halal, seafood"
M047,R045,Ramen Đặc Biệt,Khai vị,60000,"Món đặc sắc, phù hợp cho bữa trưa.","sweet, popular",Bistro Ngon 45,"453 Đường Phan Đình Phùng, P.6, Q.1",Đà Nẵng,0950882459,3.7,Đồ nướng,₫₫,"fine-dining, vegetarian, cheap"
M048,R024,Mì Hải Sản,Đồ uống,80000,"Món hấp dẫn, phù hợp cho bữa tối.","savoury, popular",Bếp Mỳ 24,"461 Đường Lê Lợi, P.8, Q.6",Đà Nẵng,0921172421,3.9,Ăn vặt,₫₫₫,"cheap, halal, takeaway"
M049,R006,Tteokbokki Truyền Thống,Đồ uống,120000,"Món thơm ngon, phù hợp cho tập thể.","vegan-friendly, savoury",Cafe Sườn 6,"353 Đường Nguyễn Huệ, P.3, Q.10",Hồ Chí Minh,0971691040,4.5,Hàn Quốc,₫₫,"vegetarian, cheap, romantic"
M050,R015,Curry Chiên,Tráng miệng,80000,"Món đặc sắc, phù hợp cho bữa trưa.","popular, gluten-free",Nhà hàng Vị 15,"372 Đường Lê Lợi, P.8, Q.2",Hà Nội,0944349361,3.1,Trung Hoa,₫₫,"seafood, romantic, family"
